family,factor,threshold,sine_angle,distance_m,case,coincident,requires_review,editable_parameters
parallel,0.0,1e-05,0.0,0.2,parallel,False,False,['axial_translation']
intersection,0.0,1e-06,1.0,0.0,intersecting,False,False,[]
coincidence,0.0,1e-06,0.0,0.0,parallel,True,False,"['axial_translation', 'axial_rotation']"
parallel,0.1,1e-05,1.0000000000000002e-06,0.2,parallel,False,True,[]
intersection,0.1,1e-06,1.0,1e-07,intersecting,False,True,[]
coincidence,0.1,1e-06,0.0,1e-07,parallel,True,True,[]
parallel,0.5,1e-05,5e-06,0.2,parallel,False,True,[]
intersection,0.5,1e-06,1.0,5e-07,intersecting,False,True,[]
coincidence,0.5,1e-06,0.0,5e-07,parallel,True,True,[]
parallel,0.999,1e-05,9.990000000000001e-06,0.2,parallel,False,True,[]
intersection,0.999,1e-06,1.0,9.989999999999999e-07,intersecting,False,True,[]
coincidence,0.999,1e-06,0.0,9.989999999999999e-07,parallel,True,True,[]
parallel,1.0,1e-05,1e-05,0.2,parallel,False,True,[]
intersection,1.0,1e-06,1.0,1e-06,intersecting,False,True,[]
coincidence,1.0,1e-06,0.0,1e-06,parallel,True,True,[]
parallel,1.001,1e-05,1.0009999999999997e-05,0.0,intersecting,False,False,[]
intersection,1.001,1e-06,1.0,1.0009999999999998e-06,skew,False,False,[]
coincidence,1.001,1e-06,0.0,1.0009999999999998e-06,parallel,False,False,['axial_translation']
parallel,2.0,1e-05,2e-05,0.0,intersecting,False,False,[]
intersection,2.0,1e-06,1.0,2e-06,skew,False,False,[]
coincidence,2.0,1e-06,0.0,2e-06,parallel,False,False,['axial_translation']
parallel,10.0,1e-05,0.00010000000000000002,0.0,intersecting,False,False,[]
intersection,10.0,1e-06,1.0,9.999999999999999e-06,skew,False,False,[]
coincidence,10.0,1e-06,0.0,9.999999999999999e-06,parallel,False,False,['axial_translation']
