frame,parameter,unit,value,outcome,local_valid,passed,max_position_error_m,max_orientation_error_rad,mean_position_error_m,mean_orientation_error_rad,reason
2,axial_translation,m,-1.0,evaluated,True,True,3.3308497693360055e-16,2.9802322387695312e-08,1.4388555385242052e-16,6.496605239279071e-09,
2,axial_translation,m,-0.9,evaluated,True,True,3.3308497693360055e-16,2.9802322387695312e-08,1.3693573745969687e-16,6.496605239279071e-09,
2,axial_translation,m,-0.8,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.3379680282395498e-16,6.496605239279071e-09,
2,axial_translation,m,-0.7,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.280110254995982e-16,6.496605239279071e-09,
2,axial_translation,m,-0.6,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.3399257194850316e-16,6.496605239279071e-09,
2,axial_translation,m,-0.5,evaluated,True,True,3.3710814849392077e-16,2.9802322387695312e-08,1.2687432480387724e-16,6.496605239279071e-09,
2,axial_translation,m,-0.4,evaluated,True,True,4.471281307293777e-16,2.9802322387695312e-08,1.3131048691492353e-16,6.496605239279071e-09,
2,axial_translation,m,-0.30000000000000004,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2586987649035072e-16,6.496605239279071e-09,
2,axial_translation,m,-0.19999999999999996,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2331384853714625e-16,6.496605239279071e-09,
2,axial_translation,m,-0.09999999999999998,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.279557805251881e-16,6.496605239279071e-09,
2,axial_translation,m,0.0,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.2276193477342662e-16,6.496605239279071e-09,
2,axial_translation,m,0.10000000000000009,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.245979016829584e-16,6.496605239279071e-09,
2,axial_translation,m,0.19999999999999996,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.246346398257501e-16,6.496605239279071e-09,
2,axial_translation,m,0.30000000000000004,evaluated,True,True,4.447527879066319e-16,2.9802322387695312e-08,1.2642889621256736e-16,6.496605239279071e-09,
2,axial_translation,m,0.3999999999999999,evaluated,True,True,4.471281307293777e-16,2.9802322387695312e-08,1.2963900395448414e-16,6.496605239279071e-09,
2,axial_translation,m,0.5,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.3381826982110238e-16,6.496605239279071e-09,
2,axial_translation,m,0.6000000000000001,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.342226773272809e-16,6.496605239279071e-09,
2,axial_translation,m,0.7,evaluated,True,True,3.3308497693360055e-16,2.9802322387695312e-08,1.3467489287355673e-16,6.496605239279071e-09,
2,axial_translation,m,0.8,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.325886277469974e-16,6.496605239279071e-09,
2,axial_translation,m,0.8999999999999999,evaluated,True,True,4.441027621704298e-16,2.9802322387695312e-08,1.4167265986490972e-16,6.496605239279071e-09,
2,axial_translation,m,1.0,evaluated,True,True,4.569276124658356e-16,2.9802322387695312e-08,1.5241819071207402e-16,6.496605239279071e-09,
3,axial_translation,m,-1.0,evaluated,True,True,4.0616245124201123e-16,2.9802322387695312e-08,1.8714080935663672e-16,6.496605239279071e-09,
3,axial_translation,m,-0.9,evaluated,True,True,4.442111658486589e-16,2.9802322387695312e-08,1.4854136583030245e-16,6.496605239279071e-09,
3,axial_translation,m,-0.8,evaluated,True,True,3.387999773988765e-16,2.9802322387695312e-08,1.4251267210720334e-16,6.496605239279071e-09,
3,axial_translation,m,-0.7,evaluated,True,True,3.479320825490087e-16,2.9802322387695312e-08,1.5172589444122226e-16,6.496605239279071e-09,
3,axial_translation,m,-0.6,evaluated,True,True,3.479320825490087e-16,2.9802322387695312e-08,1.3605033060859626e-16,6.496605239279071e-09,
3,axial_translation,m,-0.5,evaluated,True,True,3.332294980281256e-16,2.9802322387695312e-08,1.366005002206517e-16,6.496605239279071e-09,
3,axial_translation,m,-0.4,evaluated,True,True,2.417248620919782e-16,2.9802322387695312e-08,1.2665565551767788e-16,6.496605239279071e-09,
3,axial_translation,m,-0.30000000000000004,evaluated,True,True,3.395275308921627e-16,2.9802322387695312e-08,1.3494355658132225e-16,6.496605239279071e-09,
3,axial_translation,m,-0.19999999999999996,evaluated,True,True,3.332294980281256e-16,2.9802322387695312e-08,1.3656918640467165e-16,6.496605239279071e-09,
